,author,content,date,tag,title,url
0,Nischai  Vats,"In the run up to the General Elections, the result of the 5 states are a direct mandate for the ruling BJP, which post 2014, seemed quite invincible but the juggernaut has been halted in the Hindi heartland by the arch rival,  . In a Bi-polar contest between the BJP and Congress, this time it was more about the rural issues, anti-incumbency and local leadership rather than campaign, manifesto and polarization. The result has a clear message for the RSS cadre that people won’t buy the temple rhetoric in every election and its high time that the Sangh Parivar looks for the course correction in its policies. An infamous acronym, TINA (There is No Alternative) had come into existence since the beginning of the Modi wave in 2014, and since then, it has been widely propagated on the news channel debates, social media etc. to convey a perception that BJP and PM   are the last resort and the only option for the voters of the country. But, come this December, and Congress has overturned the results of the Hindi speaking states in its favor and the acronym has been transformed to RITA (Rahul is the Alternative).The story of Rahul Gandhi 2.0 dates back to December 2017, when the nation saw a different wavelength in the Gujarat election, where the slogan of ‘Vikas pagal ho gaya hai’ kept trending on Twitter and the entire agrarian livelihood stood behind the Congress party. In the end, it was the Gujarati Asmita and the urban voters of Ahmedabad and Surat, who managed to get BJP escape through the majority mark. Although, Gujarat, which was popularly known to be the Hindutva laboratory of the BJP, had high rural distress amongst the villagers and the factors of anti-incumbency, Jignesh Mevani and   contributed. Rajasthan, Madhya Pradesh and Chhattisgarh were mere an extension of the rural dissent and the shift of lower, backward class votes from BJP to Congress. Clearly, the politics of Mandir and accusations on Nehru-Gandhi family has been rejected and PM Narendra Modi will have to present his report card at the completion of his term. The result also hints that the right-wing parties and groups will re-strategize their policies and the reason to get afraid here is, either BJP will return to its development narrative or they will push the right-wing agenda to a whole new level, polarizing and communalizing the voters and the ambience even more. UP CM  , the star campaigner of BJP, has mostly downscaled the image of the party and wherever he campaigned, new controversies erupted from Lord Hanuman being ‘Dalit’ to changing the name of Hyderabad to Bhagyanagar. Yogi campaigned at 24 places in Chhattisgarh and BJP lost 16 of them; same goes in Madhya Pradesh, where he rallied in 13 districts and the party lost 8 of them, whereas in Rajasthan, Yogi went to 26 places and BJP lost in 13. Certainly, BJP has received a dent in its core vote base and the backwards have shifted from its grasp as the events in the last 2 years have merely presented the party appeasing the SC/ST, spreading communal agenda, pitching up the Mandir rhetoric ahead of polls and loosening the hold on economy but be assured, that the   school of election management is still preparing for the final exam and PM Narendra Modi remains the top leader of India at present and frontrunner in the 2019 polls, although the Modi wave might now have been vaporized. Amidst the slogan of ‘Congress Mukt Bharat’ by the BJP president Amit Shah, the grand old party has now managed to score another one, ‘BJP-rahit Hindi heartland’ which is a big shift in the tone being set for the 2019 elections. Congress will be the fulcrum of the Opposition in 2019 and now, after winning in the 3 big states, it will act like a magnet for the regional parties to form a ‘Mahagathbandhan’ and lead from the front. The only issue is that a ragtag coalition will not work, as seen in Telangana where the Congress went into alliance with TDP, CPI, TJS which seemed strong but only paper as it lacked vision and mission In the end, while it may be a major setback for the BJP in the state assembly results, it is definitely not a victory for the Congress, it can be a relief for them as they have found their winning ways again. Given the amount of farmers anger and rural distress in Madhya Pradesh and Rajasthan, the Rahul Gandhi-led Congress managed to touch the mere majority number in Rajasthan and fell short-off 2 seats in MP. The curious case of Mandsaur should be mentioned, which became a hub for protest as 6 farmers were killed in police firing during their strikes and   was directly blamed for it but in the assembly election, the BJP has won the Mandsaur seat. It clearly shows lack of organizational capacity, lack of election machine and a clear political roadmap on the part of Congress party. As the Mahaul is changing, the ghost of nationalism, Hinduism, chaiwala, surgical strikes and demonetization will haunt PM Modi, while he gets out for the electioneering in the next and final round of 2019, where he will have to answer the questions and not vice-versa. On December 11, it has been made sure that Lok Sabha election is an open game and the partnership of PM Narendra Modi and Amit Shah are not invincible, it’s up to the non-BJP parties which will set the momentum ahead and time will tell whether Rahul Gandhi, after hurting the BJP in its own bastion, can become the king maker. Also read: ",2018-12-14 07:35:00+05:30,"Election Results 2018,Assembly election,Rahul Gandhi,PM Narendra Modi,rajasthan election results 2018,MP Election Results 2018,Chhattisgarh election results 2018,Amit Shah,Yogi Adityanath"," Election Results 2018: From 'Congress Mukt Bharat' to 'BJP-rahit Hindi heartland,' 2019 poll is now an open game | Catch News",http://www.catchnews.com/
1,Speed News Desk,"The Chhattisgarh Assembly election has entered in its final phase and the voting has begun to choose the next government, amidst crorepati and criminal candidates. The Chhattisgarh chief election officer Subrat Sahu has told the reporters that there are 1.54 crore voters in the second phase on 72 seats and out of them, 77.53 lakh are male and 76.46 lakh are female with 877 transgender voters. The polling at two booths will happen in between 7am and 3pm and the rest 19,336 booths will happen at the usual time, 8am and 4pm. Th incumbent chief minister Raman Singh has asked the people of the state to recall the condition in which the Chhattisgarh was in 2003 and compare it with today’s development and modernization. As the phase 2 of the polls are underway, there are 1057candidates in the fray who are contesting the election today. 6 national parties are fighting it out in Chhattisgarh, namely Congress, BJP, Bahujan Samaj Party, Nationalist Congress Party, Communist Party of India, CPI(M), whereas 23 state parties will be posing challenge against each other, in which some prominent are Janta Congress Chhattisgarh,  , Aam Aadmi Party, Gondwana Gadtantra Party and Janta Dal United, with 483 candidates contesting independently. The party with highest no. of criminal records is   (18), and the Aam Aadmi’s hopes the   has 17 candidates with criminal background. The newly formed Janta Congress Chhattisgarh has 15 and the ruling BJP, to everyone’s surprise has 6 criminal candidates. The GGP had 4 and Independent has 36. With largest political funding in last 4 years, the BJP has 61 crorepati candidates and the Congress remains at 2  at 53. The JCC has 35 and AAP has 13 crorepati candidates, and the   has 12. Out of 483 candidates, 42 are crorepatis. TS Singh Deo if the Congress has highest declared asset value of over Rs 500 crore. Also read: ",2018-11-20 10:19:00+05:30,"Chhattisgarh assembly elections 2018,chhattisgarh Assembly election 2018,chhattisgarh assembly election 2018 Live update,Mp Assembly election 2018,Rajasthan assembly election 2018,telangana Assembly election 2018,Chhattisgarh Assembly polls,bjp has highest crorepati candidate in chhattisgarh polls,congress has highest criminal candidate in chhattisgarh polls"," Chhattisgarh Assembly Elections 2018: BJP has highest no of crorepati candidates, Congress looms large with criminal record | Catch News",http://www.catchnews.com/
2,Speed News Desk,"The Bharatiya Janta Party Rajasthan sitting lawmaker from Ramgarh, Gyandev Ahuja quits the party on Sunday after he was not given a ticket to contest the assembly elections in the state. Gyandev Ahuja, the lawmaker from Ramgarh in Alwar district, who is well known for his controversial remarks said he will contest as an Independent candidate from Sanganer. ""My name was dropped by the party without taking me into confidence. I was not even told about the reason why my name was dropped. After pressure from my supporters and family members, I resigned from the party. I will now contest the elections from Sanganer seat,"" said Mr Ahuja.The BJP fielded Sukhwant Singh from Ramgarh instead. The BJP's move to drop Ahuja comes after the Congress swept bypolls to three seats in the state, including Alwar. “Protesting against the dictatorial attitude of BJP, I have resigned from primary membership of the party. I will contest as an Independent on issues like Ram Janmabhoomi, cow protection and Hindutva,” Ahuja told news agency ANI. Earlier this year, in a purported audio clip, Ahuja was heard blaming Chief Minister Vasundhara Raje for the loss in Alwar and Ajmer Lok Sabha bypolls, reported IndianExpress. Ahuja has managed to keep himself in the headlines by making controversial statements in the last few years. n February 2016, he claimed 50,000 pieces of bones, 3,000 used condoms, 500 used abortion injections, 10,000 cigarette “pieces” were found daily at the JNU campus, where “girls and boys dance naked” in cultural programmes. In April 2017, Ahuja also said he had “no regret” over the death of Pehlu Khan, who was lynched by a mob in Alwar. Rajasthan goes to polls in one phase on December 7 and the results will be declared on December 11. Also read: ",2018-11-19 12:00:00+05:30,"BJP MLA Gyan Dev Ahuja,Gyan Dev Ahuja,Gyan Dev Ahuja quits BJP,Gyan Dev Ahuja resigns,Rajasthan Assembly elections,Rajasthan Assembly elections 2018,rajasthan Election 2018,Rajasthan assembly election 2018"," Rajasthan Election 2018: BJP MLA who claimed 3,000 used condoms are found in JNU campus daily quits party after denied ticket | Catch News",http://www.catchnews.com/
3,Speed News Desk,"The final phase of Chhattisgarh Assembly election has begun and the voting is underway and the voting has started for the 72 seats. The BJP has gone in with the same chief ministerial face, Raman Singh, who has been at the helm for last 3 terms and the Congress is facing the heat, as it did not pose any strong regional leader in the state. The anti-incumbency is high in Chattissgarh but the BJP is trying to retain the state as most of the opinion polls suggest, that the ruling dispensation will be able to form the government. The last phase counts for 72 seats, which have been the stronghold of the BJP as they had won 42 out of their tally of 49 from these 72 seats. The last phase had 18 seats and they were conducted under heavy security cover, due to Maoists boycotting the election and threats to life, and IED blasts have triggered a law and order situation, for which the election commission was prepared well enough. BJP is focusing on the record of development, and how the Raman Singh has fared for the farmers but the election might swing towards the caste politics, which might be played out by the Ajit Jogi’s JCCJ and  ’s  , who have formed an alliance for the polls. The game changer for this election is this second phase, which holds the key and is a stronghold of the BJP. The Congress is riding on the faith and words of  , who has emerged as a Rahul 3.0 with his significant attack and rallies across the country. Also read: ",2018-11-20 08:50:00+05:30,"Chhatisgarh Assembly Election 2018,Mp Assembly election 2018,Rajasthan assembly election 2018,telangana Assembly election 2018,Chhattisgarh Assembly polls,Chhattisgarh assembly elections,chhattisgarh assembly poll live,Opinion Poll,exit poll,assembly election in chhattisgarh,Raman Singh,Chhattisgarh assembly elections 2018", Chhattisgarh Assembly Elections 2018: Raman Singh to fight it out in the last phase of polls; Congress remains face less | Catch News,http://www.catchnews.com/
4,Speed News Desk,"Andhra Pradesh CM Chandrababu Naidu today met West Bengal CM Mamata Banerjee, do discuss and invite her for an “anti-BJP” front for 2019 polls. Although, Chandrababu has postponed the date of Opposition conclave which was scheduled for November 22 here in Delhi, as he said that he wants to chalk out details and other required ingredients for the proposed anti-BJP front. After an hour-long meeting between Chandrababu and Mamata, the former said that the fresh date of the summit for non-BJP parties will be announced soon and it is being done, so as to save the democracy and the democratic institutions, which run this nation. Naidu, under full support of TMC president Mamata Banerjee targeted the BJP-led NDA government for deteriorating the institutions like CBI, CAG, ED, Income Tax department, RBI and said that these institutions are now under “severe pressure.” Chandrababu Naidu said, “We wanted to meet on 22 November earlier because of the elections; We wanted to make it before Parliament (winter) session.” Naidu later on added that, “Those who are opposing the BJP will join and discuss. We will chalk out a programme to move forward and take this momentum further on the agenda to protect the nation.” Naidu, while responding to a question on whether  ’s   will be a part of this Opposition meet, he said “All these things will be discussed later. We are in touch with Mayawati ji and everybody. Those who want to save the nation will work together.” Naidu even said that he has now convinced everybody and everyone has assured him to cooperate with him. He said, “This is broadly anti-BJP platform. This is in the interest of the nation. Save democracy, save the nation and save the institutions, that is the agenda. That’s the national agenda, an utmost important agenda.” Also read: ",2018-11-19 20:41:00+05:30,"Meeting of anti-BJP leaders,lok sabha election 2019,Mp Assembly election 2018,Rajasthan assembly election 2018,chhattisgarh Assembly election 2018,telangana Assembly election 2018,Chandrababu Naidu,chandrababu naidu postpones opposition conclave,Mamata Banerjee,ant-bjp front", Lok Sabha Election 2019: Chandrababu Naidu postpones Opposition conclave after meeting Mamata Banerjee in Kolkata | Catch News,http://www.catchnews.com/
5,Speed News Desk,"Former BJP and current Congress minister in Punjab Government,   released a statement on Prime Minister Narendra Singh Modi. According to ANI, Sidhu said,“Is the PM jealous that he was not called for Imran Khan's oath ceremony? Is he jealous that he went to Pakistan uninvited? I'll not prove my patriotism to people whose name came up in Godhra"". The Congressman, in the month of August, attended Pakistan's current PM Imran Khan's oath ceremony for which he mustered immense criticism from opposition and people on social media. However, proclaiming himself as an advocate of peace for both nations Sidhu claimed that he is here as an “Ambassador of goodwill” and wants to boast friendly terms between both neighbors by following gestures like these. ""These moments of democratic change in Pakistan are very important. I feel lucky that Imran Khan, being a friend, invited me. It is an honor for me. I am going to Pakistan as a goodwill ambassador. I am going there with the hope that relations between our two nations will improve,"" former Indian cricketer told media. But on the contrary, India fumes on Twitter while expressing their rage and fret over cricketer turned politician for attending the ceremony. Moreover, Twitteratis questioned his credibility while blowing out at him for exchanging pleasantries with General Bajwa.",2018-11-17 15:56:00+05:30,"Navjot Singh Sidhu,Prime Minister Narendra Modi,General Bajwa,sidhu bajwa,congress bjp,Imran Khan,Pakistan PM Imran Khan,imran khan oath ceremony"," Congress' Navjot Singh Sidhu takes a dig at PM Modi; asks, 'Is PM Modi jealous for not being called in Pak PM Imran Khan's oath ceremony?' | Catch News",http://www.catchnews.com/
6,Speed News Desk,"Finance Minister   and Madhya Pradesh CM   released BJP Manifesto in Bhopal ahead of assembly election in the state on Saturday. Union Minister and BJP leader Arun Jaitley and Madhya Pradesh Chief Minister Shivraj Singh Chouhan release party's vision document 'Dhristi Patra' ahead of 28th November Madhya Pradesh Assembly elections. Earlier, Congress released it Manifesto for Madhya Pradesh assembly polls at the party office in Bhopal last week under presence of party’s state unit president Kamal Nath and senior leaders Jyotiraditya Scindia and  . The Congress in its manifesto of Madhya Pradesh have had mentioned that if it comes to power, then it will ban   (RSS) branch from all the government's offices and premises in the state.""Only those who have a lot to hide have taken the step of not letting CBI come to their state. There is no sovereignty of any state in the matter of corruption. Andhra move is not motivated by any particular case but in fear of what is likely to happen,"" said Union Minister Arun Jaitley. The assembly polls in Madhya Pradesh for 230 constituencies seats is scheduled on 28 November and the counting of votes will done on 11 December. The Madhya Pradesh in ruled under BJP for last 15 years and incumbent Chief Minister Shivraj Singh Chouhan took over the reins of power on 29 November 2005. Also read: ",2018-11-17 13:00:00+05:30,"Mp Assembly election 2018,Madhya Pradesh assembly election 2018,Madhya Pradesh Election 2018,Arun Jaitley,Finance Minister Arun Jaitley,CM Shivraj Singh Chouhan,Madhya Pradesh CM Shivraj Singh Chouhan,MP BJP Manifesto,BJP Manifesto for Madhya Pradesh", MP Assembly Election 2018: Finance Minister Arun Jaitley and CM Shivraj Singh Chouhan releases BJP Manifesto 'Drishtipatra' ahead of polls | Catch News,http://www.catchnews.com/
7,Speed News Desk,"The Congress has released the second list of 32 candidates for the Rajasthan assembly election on Saturday.  -led the grand old party has fielded veteran Bhartiya Janta Party leader Jaswant Singh's son and former BJP leader Manvendra Singh from Jharapatan against Chief Minister Vasundhara Raje. In 2013 assembly elections, Manvendra Singh was as a BJP candidate from the Sheo assembly constituency of Barmer district. While, his father, Jaswant Singh was denied ticket by the party in 2014 Lok Sabha polls after which he contested elections as an independent candidate and lost the seat to BJP's Sonaram, who had joined the party from the Congress and was backed by Chief Minister Vasundhara Raje. Manvendra Singh's name was released by the Congress this afternoon in the second list of 32 candidates for the upcoming polls in the state.The 54-year-old Rajasthan lawmaker Jaswant Singh quit the BJP on September 22 with a parting shot, ""Kamal Ka Phool, Hamaari Bhool"" (lotus was my mistake). He had also lashed out at the BJP for its style of functioning at the centre and the state. ""There is a problem with the culture of governance and there is rampant corruption,"" he told NDTV. For him leaving the BJP wasn't easy, ""it was my family"", he said. ""When no one heard me within the family and a friend (Rahul Gandhi) heard me, it was then that I took this step."" In the last assembly elections in 2013, the   (BJP) had won a majority in the 200-seat Rajasthan Assembly. The tenure of Vasundhara Raje-led BJP government in Rajasthan will end on January 20, 2019 The upcoming assembly elections in Rajasthan are scheduled to be held in a single phase on December 7, 2018. Results for Rajasthan Assembly elections 2018 will be declared on December 11 along with results of Assembly elections in four other states - Madhya Pradesh, Chhattisgarh, Telangana and Mizoram. Also read: ",2018-11-17 16:02:00+05:30,"Rajasthan assembly election 2018,Jaswant Singh,Manvendra Singh,Rajasthan elections,Rajasthan elections 2018,Vasundhara Raje,Rajasthan Assembly elections,Rajasthan Assembly elections 2018", Rajasthan Assembly Election 2018: Congress fields BJP veteran Jaswant Singh's son against Vasundhara Raje; releases second list  | Catch News,http://www.catchnews.com/
8,Speed News Desk,"Seventy two seats have gone to polls today in Chhattisgarh and the key to the polls lie with the Ajit Jogi and   alliance, who by winning 3-5 seats can call for a hung assembly. This state election is seeing a high anti-incumbency for the BJP, who has been reeling with farmers agitation, naxals attack, development, education facilities, healthcare among others. Although, the BJP had won 43 seats out of 72 in this phase, the BJP would want the Ajit Jogi and Mayawati alliance to count upon any anti-incumbency votes and disintegrate them within the Congress party. The Bilaspur-Jangir region has been at the heights of anti-incumbency for the BJP and it is where the Jogi-Mayawati allaince might come into play. But, its the BJP who mighthave the last laugh as the different signals which Ajit Jogi had sent later during rallies and interview has troubled the Opposition unity. Although, the Mayawati had declined to join the Congress and created a third front in the state. Chhattisgarh might see a hung assembly for the first time as it is a triangular contest and if the JCCJ-  is able to garner 3-6 seats, the election might swing either sides. Chief Minister Raman Singh said, “We are expecting a pro-incumbency vote in the second phase also and people will come out in huge numbers this time also to vote for the BJP. We will definitely coming back to power for the record fourth-time in a row.” Raman Singh has roped in the memories of Bharat Ratna late Atal Bihari Vajpayee by renaming Naya Raaipur to his name. Also read: ",2018-11-20 09:18:00+05:30,"Chhattisgarh assembly elections 2018,chhattisgarh Assembly election 2018,Mp Assembly election 2018,Rajasthan assembly election 2018,telangana Assembly election 2018,Chhattisgarh Assembly polls,Chhattisgarh assembly election,Chhattisgarh Assembly 2018,assembly election in chhattisgarh", Chhattisgarh Assembly Elections 2018: Voting begins as BJP battles anti-incumbency; Jogi-Mayawati alliance to hold the key for final phase | Catch News,http://www.catchnews.com/
9,Speed News Desk,"The Congress is in do or die situation to win the assembly polls and it is campaigning in Madhya Pradesh for the elections has hit fresh controversy after another video of its senior leader Kamal Nath went viral on social media. The video has been surfaced widely weeks before the polling in the state. In the video, Kamal Nath appears to be addressing party men and urging them to ensure Muslim votes, how important it is for their party. ""My request to you is that you analyse past records... How much voting in Muslim booths, and if there was 50-60 per cent voting, then why 60 per cent - why not 90 per cent? This post-mortem is very important,"" says the nine-time Lok Sabha parliamentarian. There is applause. ""If we don't get 90 per cent votes of the Muslims, then we are doomed. You are talking about 80 (per cent). I am talking about 90... You know where there are Muslim votes, how much voting took place there? If there was less than 60 per cent voting, then why? It must have been a big reason,"" says Kamal Nath.  Later, the Bhartiya Janta Party lashed out at Kamal Nath's ""polarising politics"", saying that the real face of the Congress has been exposed. ""Congress is playing divisive politics by categorizing booths on the basis of religion,"" BJP spokesperson Sambit Patra said. The BJP's Amit Malviya tweeted the video and called it the ""communal truth of the Congress's politics"". The assembly elections in Madhya Pradesh is scheduled on 28 November along with Mizoram and the counting of votes will be done on 11 December. Also read: ",2018-11-21 17:06:00+05:30,"Kamal Nath,90% muslims won't vote,90% muslims won't vote to Muslim,90% muslims won't vote video,Kamal Musim Votes video,Kamal Musim Votes controversy,madhya pradesh,Madhya Pradesh elections 2018,MP aseembly election 2018,Muslim votes for Congress,Congress,BJP"," Watch: 'If 90% muslims won't vote to Congress, we will be destroyed,' Kamal Nath's video goes viral, triggers controversy | Catch News",http://www.catchnews.com/
