,author,content,date,tag,title,url
0,Speed News Desk,"A trailer of the series has also been released. “Pandit Nehru’s legacy is ours. What we are today, we owe in great measure to him. This is his story,” Tharoor’s voice plays in the background and syncs with the archival footage of the Congress leader and the early days of Independent India. Tharoor’s bestselling non-fiction book   (2018) is also set to be adapted into a series by Talwar.Parliamentarian-author Shashi Tharoor during a relaunch of his book Nehru: The Invention Of India invited Congress former President   to inaugurate a web-series based documentary on the same book. Tharoor also went ahead and announced about the web-series through his Twitter handle. “On Pandit Nehru's 129th birth anniversary, I am delighted to announce that my book Nehru: The Invention of India will be adapted into a web series by Sheetal Talwar as the showrunner. Onir and Bhavna Talwar to be series directors.”",2018-11-14,"Children's Day,Jawaharlal Nehru,Nehru: The Invention Of India,Shashi Tharoor,congress news,Congress President Sonia Gandhi,why I am a hindu,Shashi Tharoor books,sheetal talwar", Children's Day Special: Shashi Tharoor's book on Pt. Jawaharlal Nehru to be made into web-series | Catch News,http://www.catchnews.com/national-news/children-s-day-special-shashi-tharoor-s-book-on-pt-jawaharlal-nehru-to-be-made-into-web-series-140089.html
1,Speed News Desk,"“ “As the Rajasthan Assembly election is around the corner, and the Congress’ Sachin Pilot has praised rival Vashundhara Raje for standing up against the BJP president  . Sachin was speaking at an event organized by the NDTV, here in New Delhi and said that she did a job which no other person could do in the entire party and the “whole nation.” The Rajasthan Congress chief was asked to tell two praises about his rival and Rajasthan CM Vasundhara Raje, as   had earlier said that he would the politics of love and not hate. What she did is to show Amit Shah his place. Nobody in the BJP has been able to do that. She actually stood her ground and for 75 days, that cold war went on,” said Sachin Pilot, while praising the BJP leader. Actually in July this year, in the by-poll election, the BJP had lost miserably and Amit Shah then tried to install his own candidate for the upcoming State Assembly Election, named Gajendra Singh Shekhawat, but he failed as Vasundhara Raje took a firm stand against the move. She actually said I don't want the man that he wants. If you ask BJP people, no other person in the whole nation has done that,” Pilot added. Elaborating about the second praise, “he's a woman who we all respect as an individual,"" said the Congress leader, exhausting his reserve of praise for Vasundhara Raje. ""But her term in office, her governance, arrogance, her sense of cutting off people.” Pilot then targeted the BJP leader saying, “Vasundhara-ji made 611 promises. How many of them have been implemented.” Also read: ",2018-11-16,"Sachin Pilot,sachin pilot praises vasundhara raje,sachin pilot praises rajasthan cm vasundhara raje,BJP,Congress,vashundhara raje against amit shah,Rajasthan assembly election 2018,Mp Assembly election 2018,chhattisgarh Assembly election 2018,telangana Assembly election 2018", Rajasthan Assembly Election 2018: Congress' Sachin Pilot praises rival Vasundhara Raje for standing up against BJP president Amit Shah | Catch News,http://www.catchnews.com/national-news/rajasthan-assembly-election-2018-congress-sachin-pilot-praises-rival-vasundhara-raje-for-standing-up-against-bjp-president-amit-shah-140287.html
2,Speed News Desk,"The 54-year-old Rajasthan lawmaker Jaswant Singh quit the BJP on September 22 with a parting shot, ""Kamal Ka Phool, Hamaari Bhool"" (lotus was my mistake). He had also lashed out at the BJP for its style of functioning at the centre and the state. ""There is a problem with the culture of governance and there is rampant corruption,"" he told NDTV. For him leaving the BJP wasn't easy, ""it was my family"", he said. ""When no one heard me within the family and a friend (Rahul Gandhi) heard me, it was then that I took this step."" In the last assembly elections in 2013, the   (BJP) had won a majority in the 200-seat Rajasthan Assembly. The tenure of Vasundhara Raje-led BJP government in Rajasthan will end on January 20, 2019 The upcoming assembly elections in Rajasthan are scheduled to be held in a single phase on December 7, 2018. Results for Rajasthan Assembly elections 2018 will be declared on December 11 along with results of Assembly elections in four other states - Madhya Pradesh, Chhattisgarh, Telangana and Mizoram. Also read: The Congress has released the second list of 32 candidates for the Rajasthan assembly election on Saturday.  -led the grand old party has fielded veteran Bhartiya Janta Party leader Jaswant Singh's son and former BJP leader Manvendra Singh from Jharapatan against Chief Minister Vasundhara Raje. In 2013 assembly elections, Manvendra Singh was as a BJP candidate from the Sheo assembly constituency of Barmer district. While, his father, Jaswant Singh was denied ticket by the party in 2014 Lok Sabha polls after which he contested elections as an independent candidate and lost the seat to BJP's Sonaram, who had joined the party from the Congress and was backed by Chief Minister Vasundhara Raje. Manvendra Singh's name was released by the Congress this afternoon in the second list of 32 candidates for the upcoming polls in the state.",2018-11-17,"Rajasthan assembly election 2018,Jaswant Singh,Manvendra Singh,Rajasthan elections,Rajasthan elections 2018,Vasundhara Raje,Rajasthan Assembly elections,Rajasthan Assembly elections 2018", Rajasthan Assembly Election 2018: Congress fields BJP veteran Jaswant Singh's son against Vasundhara Raje; releases second list  | Catch News,http://www.catchnews.com/national-news/rajasthan-assembly-election-2018-congress-fields-bjp-veteran-jaswant-singh-s-son-against-vasundhara-raje-releases-second-list-of-32-candidates-140405.html
3,Speed News Desk,"As the Madhya Pradesh Assembly election is around the corner, the BJP has in an unprecedented move, expelled its 53 rebel leaders from the party for “indiscipline.” In a major decision ahead of polls, the Bhartiya Janta Party has cracked the whip on the leaders who were unhappy with ticket distribution and other party activities, and were rallying in favor of Congress party and its president  . The BJP has denied ticket to its senior leader Sartaj Singh, former minister Ramkrishna Kusmaria and Bhind MLA Narendra Kushwaha, who were later expelled from the party for “indiscipline.” Sartaj Singh, who switched to the Congress party after being denied a ticket from the BJP from the Seoni-Malwa constituency, had cried in public after his name didn’t figure in the list of candidates. Singh, a two time MLA fom the BJP, had joined Congress last week and was immediately named as the Opposition party’s nominee for the Hoshangabad Assembly seat. Although, Ramkrishna Kusmaria has declared that he will contest as an independent candidate in the upcoming polls. Other leaders that were expelled from the party are, former Gwalior mayor Samiksha Gupta, Lata Mehsaki, Dheeraj Pateria and Raj Kumar Yadav. Samiksha Gupta, had declared that she has quit the BJP and will be contesting the November 28 polls as independent candidate. The ticket distribution among the BJP and Congress has seen a discontent among the leaders and it might affect the results of poll, which scheduled for November 28 and the result of the single-phase election will be declared on December 11. Also read: ",2018-11-15,"Shivraj Singh Chouhan,Madhya Pradesh CM Shivraj Singh Chouhan,BJP,Mp Assembly election 2018,telangana Assembly election 2018,Rajasthan assembly election 2018,chhattisgarh Assembly election 2018,bjp expels 53 leaders from the party for indiscipline,madhya pradesh polls,Madhya Pradesh Election 2018,Madhya pradesh election 2018 date"," MP Assembly Election 2018: BJP expels 53 rebel leaders, including Sartaj Singh, Narendra Khushwaha ahead of polls | Catch News",http://www.catchnews.com/national-news/mp-assembly-election-2018-bjp-expels-53-rebel-leaders-including-sartaj-singh-narendra-khushwaha-ahead-of-polls-140156.html
4,Speed News Desk,"""Only those who have a lot to hide have taken the step of not letting CBI come to their state. There is no sovereignty of any state in the matter of corruption. Andhra move is not motivated by any particular case but in fear of what is likely to happen,"" said Union Minister Arun Jaitley. The assembly polls in Madhya Pradesh for 230 constituencies seats is scheduled on 28 November and the counting of votes will done on 11 December. The Madhya Pradesh in ruled under BJP for last 15 years and incumbent Chief Minister Shivraj Singh Chouhan took over the reins of power on 29 November 2005. Also read: Finance Minister   and Madhya Pradesh CM   released BJP Manifesto in Bhopal ahead of assembly election in the state on Saturday. Union Minister and BJP leader Arun Jaitley and Madhya Pradesh Chief Minister Shivraj Singh Chouhan release party's vision document 'Dhristi Patra' ahead of 28th November Madhya Pradesh Assembly elections. Earlier, Congress released it Manifesto for Madhya Pradesh assembly polls at the party office in Bhopal last week under presence of party’s state unit president Kamal Nath and senior leaders Jyotiraditya Scindia and  . The Congress in its manifesto of Madhya Pradesh have had mentioned that if it comes to power, then it will ban   (RSS) branch from all the government's offices and premises in the state.",2018-11-17,"Mp Assembly election 2018,Madhya Pradesh assembly election 2018,Madhya Pradesh Election 2018,Arun Jaitley,Finance Minister Arun Jaitley,CM Shivraj Singh Chouhan,Madhya Pradesh CM Shivraj Singh Chouhan,MP BJP Manifesto,BJP Manifesto for Madhya Pradesh", MP Assembly Election 2018: Finance Minister Arun Jaitley and CM Shivraj Singh Chouhan releases BJP Manifesto 'Drishtipatra' ahead of polls | Catch News,http://www.catchnews.com/national-news/mp-assembly-election-2018-finance-minister-arun-jaitley-and-cm-shivraj-singh-chouhan-releases-bjp-manefisto-drishtipatra-ahead-of-polls-140370.html
5,Speed News Desk,"The Telangana Assembly election is around the corner and the Congress party has released its second list for the upcoming polls. The party has announced an alliance with Telgu Desam Party, Communist Party of India for the assembly election and a sort of ‘grand alliance’ is working on ground in Telangana. But the discontent is being seen in the party itself due to the distribution of ticket, which is being seen as arbitrary. The discontent had surfaced when the first list of candidates were announced by the Congress and the TDP, who are fighting the election together. Congress had declared its first list of 65 candidates on Monday and the list of another 10 candidates got released today itself. Earlier, Ponnala Lakshmaiah, the president of Pradesh Congress Committee, who even served as a minister in the UPA government until 2014, couldn’t get a seat for the assembly election and he immediately rushed to Delhi, to meet the high command. Ponnala said, “I have been in politics for the last 35 years and a strong loyalist of the Congress. Denial of ticket to an OBC candidate like me to accommodate a Reddy candidate would cause immense damage to the party.” In Serilingampalli constituency of Hyderabad, former MLA Bikshapati Yadav was unhappy over the decision by the party high command to hand over his seat to the Telangana Jan Samiti president as the latter is also in an alliance. Expressing his concern, the lawmaker said, “I was promised ticket from the constituency and have been nurturing it for the last four years. Now, they say it has been allotted to the TDP. This is gross injustice. I am contemplating contesting as an independent.” Also read: ",2018-11-14,"Congress,congress releases second list of candidates,Mp Assembly election 2018,Rajasthan assembly election 2018,congress 2nd list for telangana,Telangana polls,Telangana election,Telangana Assembly Election,telangana Assembly election 2018,chhattisgarh Assembly election 2018", Telangana Assembly Election 2018: Congress releases 2nd list of 10 candidates for the upcoming polls; forms grand alliance with TDP and CPI | Catch News,http://www.catchnews.com/national-news/telangana-assembly-election-2018-congress-releases-2nd-list-of-10-candidates-for-the-upcoming-polls-forms-grand-alliance-with-tdp-and-cpi-140090.html
6,Speed News Desk,"The Rajasthan Assembly election is approaching and the sitting BJP MP Harish Meena has switched sides and has joined the Congress party, in presence of Ashok Gehlot here in Delhi. The Rajasthan Assembly has been loyal in reversing the government every five years and as per the logic, the history is on the Congress’ side. The BJP, under Vasundhara Raje, has been facing a high anti-incumbency in the state and some right wing groups are also protesting against the Raje’s government since a log period of time. BJP’s Harish Meena is a member of parliament from Rajasthans Dausa constituency and has been a supporter of the party since a long time. He was an IPS officer and also the Directorate General of Police of Rajasthan, under the Ashok Gehlot government. His brother, Namo Narain Meena, was also an ex-IPS officer, and was a Minister of State (Finance) in the UPA government. Ashok Gehlot, during the press conference in Delhi, has said that he will be contesting the Rajasthan Assembly election, along with Sachin Pilot. Former CM Gehlot said, “Both, I and Sachin Pilot will fight the Rajasthan assembly elections.” Sachin Pilot, who was also present in the press conference, agreed with the statement of Ashok Gehlot and denied any rift between the two leaders, as being quoted in the media. He said, “On Congress president  's instruction and on Gehlotji's request, I have decided to contest the assembly elections.” The Congress party in Rajasthan is said to be deeply divided among the two factions, one headed by the former CM Ashok Gehlot and the other by Sachin Pilot. The result of the assembly election will be declared on December 11. Also read: ",2018-11-14,"Mp Assembly election 2018,Rajasthan assembly election 2018,chhattisgarh Assembly election 2018,telangana Assembly election 2018,Rajasthan assembly election,Rajasthan assembly polls,rajasthan election,Harish Meena joins congress,ashok gehlot will contest election"," Rajasthan Assembly Election 2018: Sitting BJP MP Harish Meena joins Congress in presence of Ashok Gehlot, ahead of polls | Catch News",http://www.catchnews.com/national-news/rajasthan-assembly-election-2018-sitting-bjp-mp-harish-meena-joins-congress-in-presence-of-ashok-gehlot-ahead-of-polls-140100.html
7,Speed News Desk,"Earlier, Vishwas tweeted ""Shashi Tharoor's brother who was lost in Kumbh festival has been found! Congratulations!"" and shared a video. As assembly elections are approaching, the war or words are on the high scale between all political parties. By the end of the year, assembly elections in five states, Rajasthan, Madhya Pradesh, Chhattisgarh, Telangana and Mizoram is to take place.  Although since, long Kumar Vishwas is being critical for  -led Aam Aadmi Party. He has been seen attacking his party and its member several times. Also read: Aam Aadmi Party leader   hilariously trolls Congress MP Shashi Tharoor over his English. The popular poet-cum-singer took Twitter to share a video of a man speaking long English words like Shashi Tharoor, to which Congress Senior leader responded by tweeting in the Hindi language, ""What's better than people becoming brothers by just talking alike."" Shashi Tharoor tweeted, ""rangon, bhaasha, lahajon mein hee thodee see judaee hai asal mein duniya kunaba hai, aur sab bhaee-bhaee hain"" agar sirph jubaanee lahaja milane se hee koee bhaee banata hai to isase achchhee baat kya hogee, chalo ab   ke lahaje mein baat kar lete hain, ab ham bhee vahee hue ke nahee?",2018-11-17,"Kumar Vishwas trolls Shashi Tharoor,Kumar Vishwas on Shashi Tharoor,Kumar Vishwas on Shashi Tharoor English,Kumar Vishwas Trolls Shashi Tharoor English,Kumar Vishwas,Shashi Tharoor,Kumar Vishwas shares shashi Tharoor brother video,national news,Catch News,Assembly elections,Rajasthan assembly election 2018,chhattisgarh Assembly election 2018,Mp Assembly election 2018,AAP,Arvind Kejriwal"," AAP leader Kumar Vishwas trolls Shashi Tharoor over his English; Congress MP replies in Hindi says, ' ab AAP k lehje me baat karte hai' | Catch News",http://www.catchnews.com/national-news/aap-leader-kumar-vishwas-trolls-shashi-tharoor-over-his-english-congress-mp-replies-in-hindi-says-chalo-ab-aap-k-lehje-me-baat-karte-hai-140361.html
8,Speed News Desk,"Former BJP and current Congress minister in Punjab Government,   released a statement on Prime Minister Narendra Singh Modi. According to ANI, Sidhu said,“Is the PM jealous that he was not called for Imran Khan's oath ceremony? Is he jealous that he went to Pakistan uninvited? I'll not prove my patriotism to people whose name came up in Godhra"". The Congressman, in the month of August, attended Pakistan's current PM Imran Khan's oath ceremony for which he mustered immense criticism from opposition and people on social media. However, proclaiming himself as an advocate of peace for both nations Sidhu claimed that he is here as an “Ambassador of goodwill” and wants to boast friendly terms between both neighbors by following gestures like these. ""These moments of democratic change in Pakistan are very important. I feel lucky that Imran Khan, being a friend, invited me. It is an honor for me. I am going to Pakistan as a goodwill ambassador. I am going there with the hope that relations between our two nations will improve,"" former Indian cricketer told media. But on the contrary, India fumes on Twitter while expressing their rage and fret over cricketer turned politician for attending the ceremony. Moreover, Twitteratis questioned his credibility while blowing out at him for exchanging pleasantries with General Bajwa.",2018-11-17,"Navjot Singh Sidhu,Prime Minister Narendra Modi,General Bajwa,sidhu bajwa,congress bjp,Imran Khan,Pakistan PM Imran Khan,imran khan oath ceremony"," Congress' Navjot Singh Sidhu takes a dig at PM Modi; asks, 'Is PM Modi jealous for not being called in Pak PM Imran Khan's oath ceremony?' | Catch News",http://www.catchnews.com/national-news/congress-navjot-singh-sidhu-takes-a-dig-at-pm-modi-asks-is-pm-modi-jealous-for-not-being-called-in-pak-pm-imran-khan-s-oath-ceremony-140406.html
9,Speed News Desk,"The BJP fielded Sukhwant Singh from Ramgarh instead. The BJP's move to drop Ahuja comes after the Congress swept bypolls to three seats in the state, including Alwar. “Protesting against the dictatorial attitude of BJP, I have resigned from primary membership of the party. I will contest as an Independent on issues like Ram Janmabhoomi, cow protection and Hindutva,” Ahuja told news agency ANI. Earlier this year, in a purported audio clip, Ahuja was heard blaming Chief Minister Vasundhara Raje for the loss in Alwar and Ajmer Lok Sabha bypolls, reported IndianExpress. Ahuja has managed to keep himself in the headlines by making controversial statements in the last few years. n February 2016, he claimed 50,000 pieces of bones, 3,000 used condoms, 500 used abortion injections, 10,000 cigarette “pieces” were found daily at the JNU campus, where “girls and boys dance naked” in cultural programmes. In April 2017, Ahuja also said he had “no regret” over the death of Pehlu Khan, who was lynched by a mob in Alwar. Rajasthan goes to polls in one phase on December 7 and the results will be declared on December 11. Also read: The Bharatiya Janta Party Rajasthan sitting lawmaker from Ramgarh, Gyandev Ahuja quits the party on Sunday after he was not given a ticket to contest the assembly elections in the state. Gyandev Ahuja, the lawmaker from Ramgarh in Alwar district, who is well known for his controversial remarks said he will contest as an Independent candidate from Sanganer. ""My name was dropped by the party without taking me into confidence. I was not even told about the reason why my name was dropped. After pressure from my supporters and family members, I resigned from the party. I will now contest the elections from Sanganer seat,"" said Mr Ahuja.",2018-11-19,"BJP MLA Gyan Dev Ahuja,Gyan Dev Ahuja,Gyan Dev Ahuja quits BJP,Gyan Dev Ahuja resigns,Rajasthan Assembly elections,Rajasthan Assembly elections 2018,rajasthan Election 2018,Rajasthan assembly election 2018"," Rajasthan Election 2018: BJP MLA who claimed 3,000 used condoms are found in JNU campus daily quits party after denied ticket | Catch News",http://www.catchnews.com/national-news/rajasthan-election-2018-bjp-mla-who-claimed-3-000-used-condoms-are-found-in-jnu-campus-daily-quits-party-after-denied-ticket-140506.html
