,author,content,date,tag,title,url
0,OpIndia Staff,"Rajasthan, along with Telangana, goes to polls on 7th December. The results for the five state assembly elections will be declared on 11th December. Congress released its manifesto [pdf ] for the poll-bound Rajasthan on Thursday, which had soft-Hindutva undertones. Other than the promises of loan waiver to farmers other populist promises like unemployment allowance for educated unemployed, Congress manifesto also promises establishment of go-char (grazing) land development board. It also promises upgradation of the existing gau shala which “might have been ignored by the BJP government”. The manifesto also promises a revival of Sanskrit language by encouraging the same in schools. Rajasthan Congress has also promised ‘Vedic Sanskar’ as well as establishment of education board for the same. Congress has also made quite a few promises to people belonging to minority religions. Among other perks, the madarsas to have more computers and internet connection. Congress’ Rajasthan manifesto with the soft-Hindutva approach is in line with the manifesto the grand old party released in Madhya Pradesh . In its ‘vachan patra’ released for Madhya Pradesh earlier this month, Congress promised setting up of Gaushalas at all village panchayats. It also promises construction of Ram Path and a Narmada Parikrama route. Congress has also promised to promote Sanskrit. Rajasthan, along with Telangana, goes to polls on 7th December. The results for the five state assembly elections will be declared on 11th December.",2018-11-30,"2018 Assembly Elections,Congress,gaushala,manifesto,rajasthan,Rajasthan Assembly Election,Sanskrit,Soft Hindutva",Congress’ soft-Hindutva agenda: Rajasthan manifesto talks about ‘gau shala’ and revival of Sanskrit language,https://www.opindia.com/2018/11/congress-soft-hindutva-rajasthan-manifesto/
1,OpIndia Staff,"Sidhu had earlier stoked a controversy when he was spotted hugging Pakistani army chief Shiromani Akali Dal National spokesperson and Delhi Sikh Gurudwara Management Committee (DSGMC) General Secretary Manjinder Singh Sirsa has condemned  Navjot Singh Sidhu for his conduct in Pakistan and criticised Congress for not taking any action for the same. He called this act a planned conspiracy sketched out by Pakistan. “We have been saying since the beginning, Sidhu is being used by the Pakistan government. I don’t know if he’s in agreement with them or is it unintentional. But yes, there is a well-planned strategy of Pakistan’s ISI to use Sidhu as a tool,” the Akali Dal leader said. Sirsa confirmed that when he went to Pakistan he too was persuaded by them to support Khalistan and Pakistan, but Sirsa had turned down the proposal then and had responded by saying that “I am loyal to my country”. He further  said that Pakistan is scheming something big against India. He said, “This is a strategised case, it should not be viewed in isolation. The way Pakistan stop Indian High Commissions from entering Gurudwaras, Khalistan slogans, and posters are carried in Pakistan.” “There is some kind of hidden agenda by ISI and Bajwa. It is a collective attack on India using a different angle,” he added. Speaking of Punjab CM Captain Amarinder Singh’s decision to reject the invitation to Pakistan he said, “Captain Amarinder took a stand but what’s the point if there is no action. Just saying on a TV channel is a different thing and doing something is a different thing. A member from his Cabinet is going to Pakistan, praising the Army chief Bajwa who is responsible for killing innocent people of our country. But Sidhu is not condemning his actions, and now he’s joining hands with Gopal Singh Chawla and denying it now.” Punjab Chief Minister, Amarinder Singh had earlier  turned down Pakistan’s invitation saying that due to continued terrorist attacks in Punjab, killings of Indian soldiers by armed forces of Pakistan, he will not be attending the event. He said, “not a day passes when Indian soldiers are not killed or wounded on the line of control in Jammu and Kashmir,” adding that “rather than moving towards normalcy these incidents are escalating.” He had also accused ISI of starting its “nefarious activities within Punjab.” Congress Minister Navjot Singh Sidhu had keenly accepted the invitation extended towards him by Pakistan Foreign minister Shah Mehmood Qureshi. Though recently, Army Chief Bipin Rawat had stated  that external forces are attempting to revive the Khalistani insurgency in Punjab and the US government had recently declared  Babbar Khalsa, the Sikh terror group as a threat to American interests, Siddhu, during his visit was seen posing  with Kalistani terrorist Gopal Chawla. He was also seen smiling when Pakistan Prime minister, Imran Khan invited  Sidhu to contest elections in Pakistan, saying that he would surely win if he did. On this, Sirsa added that Sidhu hurt Indian sentiments and proved where his loyalties stand, by not voicing his disapproval, “When Imran Khan asked Sidhu to stand for elections from Pakistan, in no way did he say that he’s a proud India and even though he’s friends with them his loyalties are with his country. And he’s smiling there.” Sidhu had earlier stoked a controversy  when he was spotted hugging Pakistani army chief Qamar Javed Bajwa during his Islamabad visit to attend the oath taking ceremony of his cricket-ground rival Imran Khan. What is shocking here is that the Congress party, who otherwise leaves no opportunity to take a jibe at others has been tongue-tied during this entire episode. In fact, on several occasions, members of the Congress have been seen defending Sidhu for his ill-advised actions. Congress leader Pratap Singh Bajwa on Wednesday defended  Sidhu’s visit to Pakistan for the groundbreaking ceremony of the Kartarpur corridor, saying that Sidhu visited Pakistan in his personal capacity and the onus of what he says there lies on him alone.",2018-11-30,"Congress,imran khan,Kartarpur,Khalistan,Khalistan sikhs,khalistani terrorists,navjot singh sidhu,Pakistan,pakistan sponsored terrorism,pro-khalistani","Manjinder Sirsa of Akali Dal says Pakistan’s ISI is using Sidhu as a tool, blames Congress for inaction",https://www.opindia.com/2018/11/manjinder-sirsa-of-akali-dal-says-pakistans-isi-is-using-sidhu-as-a-tool-blames-congress-for-inaction/
2,Rahul Raj,"Most of the Biharis would have their share of stories under Lalu in which their relatives were looted, their friends were kidnapped or their knowns were murdered. It was only after Nitish became the CM that Biharis stopped hiding their state identity. On one lazy evening of June 2006, Subhas Yadav, the brother-in-law of the then Railway Minister Lalu Prasad was boarding Rajdhani Express from Patna Junction. He found it inconvenient to cross an overbridge to board the train, so he ordered train officials to change the platform of the train, for which hundreds of passengers were waiting at specified platforms. Subhash Yadav got it done. The very next day, his other brother-in-law got Sampoorna Kranti to change the platform. A year later, Subhash Yadav created a ruckus at Patna Junction by getting Rajdhani Express detained for 20 minutes because he couldn’t get a ticket for the train. The train only moved when Subhash Yadav was provided accommodation in the AC first class of train. This was the kind of lawlessness which Lalu’s kin was exercising when Lalu Yadav was not in power. Imagine what would be the case before that. In 1973-74, young Lalu entered active politics by becoming one of the key figures in the JP-led student movement. For the next 15 years, he saw many ups and downs in his career, and then came 1990! 1990 brought an unprecedented change in his career graph. First, political equations and political ego clashes favoured Lalu to become the CM of Bihar, and then, in the same year, Lalu did something which gave him prominence at the national level. Lalu arrested L.K.Advani during Rath Yatra and blamed him of spreading communal tensions. Thus gave him a huge visibility and made him the secular star of the nation. What happened to Bihar after this is something which changed the state forever. Let’s start with the good part first. Lalu played a very crucial role in raising the stature of lower castes in Bihar. Casteism was so dominant in Bihar that from the employment of a peon to the selection of BPSC top officials, lower caste had to face discrimination. Even in top colleges like PMCH, Engineering College Patna or Engineering College Muzaffarpur, students were divided into caste brackets or xylem/phloem on the very first day. The extreme discrimination also led to the disappearance of caste-based surnames and birth of surnames like Raj, Prakash, Roushan, Kumar, Ranjan, Rani, etc. — a phenomenon which amuses Indian belonging to different states. He did empower lower castes people and gave them entry into the mainstream. This gave Lalu such a strong vote bank that even now BJP, JDU, LJP, Congress couldn’t breach. Now comes the haunting part. While Lalu did work towards the upliftment of the lower castes, this resulted also in a sort of reserve casteism where the upper caste Bhumihars and Rajputs started fearing from Lalu. In fact, from the lower castes, it was now the upper castes who started changing their surnames to hide their identity. Under Lalu, every form of crime was institutionalized. “Rangdaari tax” became an official term in Bihar. Extortion, kidnapping, murders, booth capturing became so common that Biharis changed their lifestyles to cope with it. Even in the capital city, people stopped roaming after 8 in the night. While other stated were constructing roads, hospitals, schools, colleges, institutes, Bihar was feeding crores of fodder to animals. Many companies fled away from Bihar and never returned. The dilapidated Gandhi Setu built between Patna and Hajipur soon became the real imagery of Bihar. People were paying tax for a shaky bridge which was fighting to survive and the tax money never reached it. This was not the worst thing under Lalu. The more unfortunate part was that Lalu cracked public jokes on the plight of the state and the most unfortunate part was that people laughed at those jokes. When India was gearing up for computer revolution, Lalu was asking, “yeh IT YT kya hai, kya computer doodh deta hai?” Just a sweet coincidence that while many Biharis are working in IT sectors of Bangalore, Hyderabad, Gurgaon, Mysore or Chennai, Bihar doesn’t have any large IT firm. When more than 5 lakh people were affected by the flood levels in the Ganga, Lalu Prasad was telling people that “it’s a fortunate and welcome sight to find the Ganga at one’s doorsteps”. In other depressing flood situation, Lalu entertained the media by enlightening them that flood is good for the poor as they can have fish in their meal now. When Lalu was paralyzing railways by fudging data, his followers were not worried about their future, but they were happy that Lalu is able to fool the international media. It is a big irony that Lalu became a secular hero by making a mockery of secularism. Lalu publicly boasted his famous M-Y (Muslim Yadav) theory meant to exclusively woo Muslims and Yadavs. Bihar was becoming a priority destination of ISI infiltrators, but instead of controlling it, Lalu promoted Bahubalis like Shahabuddin. A brief reading about Shahabuddin will send a chill down your spine. If that was not enough, Lalu used of a look-alike of Osama Bin Laden in the 2005 Bihar election to woo Muslims. Most of the Biharis would have their share of stories under Lalu in which their relatives were looted, their friends were kidnapped or their knowns were murdered. It was only after Nitish became the CM that Biharis stopped hiding their state identity.",2018-11-30,"Appeasement politics,Bihar,Lalu Prasad Yadav,Lutyens,Pseudo-secularism",I don’t care whether politicians fear the rise of Lalu or not. I certainly do,https://www.opindia.com/2018/11/i-dont-care-whether-politicians-fear-the-rise-of-lalu-or-not-i-certainly-do/
3,OpIndia Staff,"The professor has stated that his words were taken out of context. Professor Mohammad Tajuddin of Jammu University has been suspended  by the University administration after he referred to Bhagat Singh as a “terrorist” during a lecture. A clip  of the lecture went viral leading to students’ outrage. The students of the university wrote a letter to Vice-Chancellor Manoj Dhar, demanding an action against Tajuddin. The university ordered a probe into the incident also ordered Tajuddin’s suspension and said he could not take classes till the probe was over. Bhagat Singh’s nephew Abhay Singh Sandhu condemned the incident. “Even the Britishers did not call him terrorist, they called him a true revolutionary. The HoD of Political Science Professor is calling a Martyr, who lost his life at an early age, a terrorist. This is a blunder by the Professor, it is condemnable and he should apologize,” he said . Professor Tajudding clarified his statements and said that he considers Bhagat Singh as a revolutionary. He said that his words were taken out of context. The university’s vice-chancellor, Manoj K Dhar, had constituted  a six-member high-level committee headed by the senior-most professor of the university, to look into the complaint.",2018-11-30,"bhagat singh,Freedom of Expression,jammu,Jammu and Kashmir,university","Professor Tajuddin of Jammu University calls Bhagat Singh a terrorist, suspended",https://www.opindia.com/2018/11/professor-tajuddin-of-jammu-university-calls-bhagat-singh-a-terrorist-suspended/
4,OpIndia Staff,"A saffron surge has been witnessed in the state in recent times. It has given Chief Minister Mamata Banerjee plenty to worry about.  The ABVP has taken to the streets of Kolkata on Friday to demand the implementation of NRC in West Bengal and demand a CBI probe into the death of two ABVP karyakartas at the hands of the Police. Earlier in September, the Police had opened fire  on students protesting against the appointment of Urdu teachers at Dwaribhit High School in North Dinajpur district’s Islampur. Rajesh Sarkar and Taposh Barman had died as a result. Media-in-charge of ABVP Mumbai, Varada Marathe, has said on Twitter that the ABVP won’t take the ‘human right violation’ by the West Bengal government lying down. ABVP karyakartas from all over the country have been flowing into Kolkata for the ‘Kolkata Chalo’ rally. Talking to OpIndia.com, Prosenjit Biswas, President of Kolkata ABVP, said that Friday’s rally was attended by about 18,000 karyakartas. The rally was also attended by Rajesh Sarkar and Taposh Barman’s family members, he said. “We have been demanding from the very beginning that the perpetrators of the incidents have to be arrested. And until another post-mortem is conducted on the victims’ bodies, our protests would continue.” Biswas also claimed that no compensation has been awarded to the family of the victims and no action has been taken against the Police responsible for the deaths. A saffron surge has been witnessed  in the state in recent times. It has given Chief Minister Mamata Banerjee plenty to worry  about. BJP President Amit Shah has claimed  that the party will win 22 Lok Sabha seats in the state in 2019. The rally organized on Friday is the latest demonstration of a saffron surge in the state.",2018-11-30,"abvp,kolkata,Mamata Banerjee,National Registry for Citizenship,NRC,West Bengal",Massive ABVP rally in Kolkata to demand implementation of NRC and CBI probe against alleged Police brutality,https://www.opindia.com/2018/11/massive-abvp-rally-in-kolkata-to-demand-implementation-of-nrc-and-cbi-probe-against-alleged-police-brutality/
5,Jinit Jain,"It is becoming increasingly difficult for Congress and Rahul Gandhi to maintain that Sidhu's visit to Pakistan and his shenanigans while in Pakistan did not have the sanction of the highest leadership of Congress including Rahul Gandhi.  Amidst under severe fire from all quarters, Congress minister Sidhu appeared to brazen it out his decision of visiting Pakistan. We had earlier reported  how Sidhu was heard talking about the special plane that was arranged by Rahul Gandhi for him, days before he left for Pakistan. Now, speaking to ANI, Sidhu has reiterated that he was granted the nod of approval to visit Pakistan from the Congress central leadership. Sidhu said this in response to questions about Punjab Chief Minister saying that Sidhu should have refrained from going to Pakistan. However, this comes in sharp contrast to the Congress party’s claim that Siddhu went to attend Kartarpur Corridor’s groundbreaking ceremony on the basis of his personal friendship with Pak PM Imran Khan. Congress had earlier claimed  that Sidhu had gone to Pakistan in his ‘personal capacity’. Punjab CM Amarinder Singh had already expressed his displeasure on Siddhu’s visit to the ceremony. CM Amarinder Singh said, “ I asked him to reconsider his decision to visit Pakistan but yet he went.” Blaming Pakistan for sponsoring terrorism in India, CM Singh said , “I will not allow terrorism to grow in Punjab. For the first time, there were some terrorists from Kashmir trying to establish logistics base in Punjab. Pakistan is using these terrorists to execute their nefarious plans, but we won’t permit it.” CM Amarinder Singh rejected the invite citing continuous occurrence of terror activities sponsored by Pakistan in India. Facing flak for being snapped  with a known Khalistani terrorist Gopal Singh Chawla, Siddhu appeared in a defensive mode to justify his visit. He said, “ thousands of photos were clicked in Pakistan, I don’t know who is a Khalistani terrorist and who is not.” On one hand, Congress ministers claim that Sidhu went in the Kartarpur corridor ceremony in his personal capacity. On the other hand, Sidhu was heard claiming  that Rahul Gandhi had sent him a personal plane to aid his visit to Pakistan. Amid such contrasting claims, it’s hard to interpret Congress’ true stance and it is becoming increasingly difficult for Congress and Rahul Gandhi to maintain that Sidhu’s visit to Pakistan and his shenanigans while in Pakistan did not have the sanction of the highest leadership of Congress including Rahul Gandhi.",2018-11-30,"Captain Amarinder Singh,Congress lies,Kartarpur,navjot singh sidhu,Rahul Gandhi lies",Congress cannot distance itself from Sidhu’s shenanigans after he said Rahul Gandhi wanted him to visit Pakistan,https://www.opindia.com/2018/11/congress-navjot-singh-sidhu-pakistan-kartarpur-rahul-gandhi-wanted-him-to-go/
6,OpIndia Staff,"TRS has promised that if they win, the party will ensure a 12% quota for Muslims in the state. The incumbent CM of Telangana K Chandrasekhar Rao was seen losing his cool again yesterday when he spoke rudely to a man who had asked him a question on reservation quota for minorities. As per reports , the caretaker CM was addressing a public meeting in Kagazangar in Komaram Bheem Asifabad. During his interaction with the people, a man stood up to ask him a question about the proposed 12% reservation to minorities. KCR was seen replying to the man,”Baat karte baitho, baitho khamosh baitho” (I am speaking, sit silently). He showed irritation when the man apparently did not sit down and went on to say, ” Cheptha kadha ra bhai, thondara endhuku padthunavu” (i am going to speak, why are you in such a hurry). He further added, “baitho khamosh baitho. Bolraha hun na baitho, kya tumhare baap ko bolun kya baatein? (sit silently, I am telling you to sit, shall I tell your father?) Some volunteers reportedly rushed towards the man asking questions but KCR stopped them. KCR’s party TRS has long been promising 12% quota for Muslims in the state. He had recently announced  in poll rallies that his party will give 12% reservation to Muslims and it is the NDA government at the centre which is obstructing the proposal. BJP President Amit Shah had slammed KCR for his Muslim quota claim and stated that religion-based reservations are unconstitutional . He had added that as the SC had made it clear that there is a 50% ceiling on total reservations, KCR should make it clear that among the SC, ST and OBCs, from whose reservation cap his TRS government is going to carve out a quota for Muslims. He had added that the BJP will never allow a religion based quota in the country. Telangana will go to polls on December 7.",2018-11-30,"2018 Assembly Elections,Muslims,telangana,telangana assembly elections","Telangana: “Tumhare Baap ko bolun kya”, KCR tells youth who asked him a question",https://www.opindia.com/2018/11/telangana-tumhare-baap-ko-bolun-kya-kcr-tells-youth-who-asked-him-a-question/
7,Nirwa Mehta,"Yet again the politicians have used a cause to play politics and lay their pitch for the upcoming general elections As the 2019 general election draws closer, the Opposition parties have scrambled together to put up a united front to beat the BJP, by hook or by crook. This includes hijacking the farmers’ cause and using it as a platform to further their agenda, all the while, pretending to care for their plight. We had already reported that the farmers’ march  to the national capital demanding a minimum support price for their crops and freedom from debt was led by the front with affiliation with various communist and leftist parties. The march, organised by All India Kisan Sangharsh Coordination Committee (AIKSCC), a rather spontaneous front which has  Jai Kisan Andolan (JKA) and former AAP politician Yogendra Yadav’s Swaraj Abhiyan as its members. All India Kisan Sabha (AIKS), another communist  frontal organization affiliated to attached to communist political parties, All India Kisan Mazdoor Sabha (AIKMS), associated  with the Communist Party of India (Marxist-Leninist), All India Kisan Mahasabha (AIKM), All India Khet Mazdoor Kisan Sabha (AIKMKS), AIKS (Canning Street) which are Left  organizations – all constitute the AIKSCC. So needless to say that the farmers’ march appeared as politically motivated as the ‘Kisan Long March ‘ held earlier this year in March. Considering the entire march was spearheaded by Communists and supported by Rahul Gandhi, who in Karnataka, in alliance with Kumaraswamy has failed to keep their promise to the farmers’, for them to pretend to care for the farmers’ and gift wrapping this political rally as a spontaneous farmers’ rally is disingenuous, to say the least. Today, when the march, organised by communists leaders reached Jantar Mantar in Delhi, politicians across party lines got together and held hands on stage to show their strength. Congress President Rahul Gandhi, former Jammu and Kashmir Chief Minister Farooq Abdullah, CPI(M)’s Sitaram Yechury and Delhi Chief Minister and AAP supremo Arvind Kejriwal joined hands and tried to score their political points. Rahul Gandhi repeated  his usual lie  that loan of industrialists are waived off (while in reality they are written off, there is a difference ) and hence the farmers’ loans should also be waived off. Rahul was joined on stage by CPI(M)’s Sitaram Yechury  and AAP’s Arvind Kejriwal , both of whom pitched for the upcoming 2019 elections. Farooq Abdullah, too, used the platform to make a nationalist pitch by asking the crowd to chant ‘Jai Hind’. There certainly must have been farmers in that rally, but the organisation and spearheading of it by politicians desperate to hold on to, or regain power was a well-crafted rhetoric. The most tragic part of the entire affair was two-fold. One, the media refused to acknowledge that this was a Communist organised political rally and second, the farmers cause got lost in political lies and rhetoric. The politics behind the ‘solidarity with farmers’ was not lost on twitterati, who were quick to call out the facade. Some even pointed out the high profile ‘farmers’ who were missing from the frame. And some rightly pointed out the irony. This just goes out to show that the said march was nothing bit a political gimmick. That while there might be real farmers in the march, it was more of a tool for the opposition parties to show their strength against Modi. With general elections just a few months away the political landscape is all set to get murkier. We had earlier seen how the same set of politicians  had come together and made merry while ‘protesting’ against the Bihar rape cases. In August this year, fodder scam convict  Lalu Yadav’s MLA son Tejashwi Yadav had called for a protest against the rapes for ‘dignity of Bharat Mata’s daughters’ at Delhi’s Jantar Mantar. Sharing a stage there, AAP Supremo Arvind Kejriwal was caught smiling and sharing a joke with Tejashwi as well as student leaders. This just goes out to show that the ‘Game of Throne’ has just begun. Winter is coming.",2018-11-30,"2019 lok sabha elections,Aam Aadmi Party,Arvind Kejriwal,Congress,farmer loan waiver,farmer protests,Farmers long march,Farmers March,Farooq Abdullah,Narendra Modi,rahul gandhi,Sitaram yechury,United Opposition",Farmers’ protest or show of strength by the opposition? How politicians hijacked the farmers’ cause for election pitch,https://www.opindia.com/2018/11/farmers-protest-or-show-of-strength-by-the-opposition-how-politicians-hijacked-the-farmers-cause-for-election-pitch/
8,Sambit Nayak,"Systematic targeting and muzzling of media by state, which is not to be conflated with a political party, does not augur very well in a democracy. May better sense prevail soon. The bitter spat and ugly fallout of longtime BJD MP Baijayant Panda with his party became a public spectacle earlier this year. Simmering tensions between Baijayant and Naveen Patnaik were no secret earlier as well. Naveen is not known to be very benevolent to his detractors. However, recent events suggest that the fallout now has ramifications in how the government formulates its public policy vis-a-vis the press, which is rather tragic and dangerous. Odisha’s largest news media channel OTV is owned by Baijayant Panda’s family. On 20th November, OTV ran a story showing how honourable speaker Pradip Amat was acting on behest of Assembly secretary Amiya Kumar Sarangi after the latter whispered in his ear to adjourn the house. Immediately after this, the speaker is seen to be adjourning the house. To translate it for our non-Odia readers, the assembly secretary is first seen talking to parliamentary affairs minister Shri Bikram Keshari Arukh. Later, he is whispering “ Right after the story was reported, a privilege motion was moved against OTV by Congress MLA Taraprasad Bahinipati which was accepted by the speaker. It is interesting to note here that, Prameya News 7, 2nd in the BARC rating among Odia news channels, ran the same story but no such notice was issued against them. This privilege notice was only for OTV. A quick note on privilege motion. Members of the house enjoy certain privileges to discharge their duty effectively. When any of these rights or immunities are disregarded, it amounts to a breach of privilege and a notice is moved in form of a motion. However, in the last 2 occasions in the case of Abhijit Iyer  and OTV, the state assembly seems to move such motion, which is to be used rather judiciously, at its whims. Abhijit passed in some very unsavoury remarks against the Chief Minister and the legislators as well. Sure, it may amount defamation if one may think so and it remains for the courts to decide, it surely doesn’t breach the privilege of members, neither it restricts them to effectively discharge their duties. OTV’s broadcast doesn’t even amount to any kind of defamatory Odisha is hosting the ongoing Hockey world cup, 2018. The capital is all decked up for this added to the frenzied media and enthusiastic and Hockey loving denizens. There is a huge facelift given to public spaces and facade of Bhubaneswar and state government has done a tremendous job readying the city in time to host the grand event. With respect to this, the secretary of Department of Sports and Youth Services (DSY), Mr Vishal Dev called a few press members to brief them about how the preparations for the world cup is going on. DSY maintains that it was not a press briefing but the secretary only called a selected few press members while OTV “barged in”. Whatever the case may be, Vishal Dev refused to speak while OTV boom was on his table. He asked the OTV reporter to get out of his room as it’s not a “public park” that anyone can come visiting without an invitation. He started the briefing only after OTV representative left the scene. Vishal Dev’s grouse was that OTV broadcasted some adverse report regarding online ticket sales and insinuated that government officers didn’t handle it properly. Government targeting OTV didn’t end there. Just before the opening ceremony, the press accreditation of OTV’s sports bureau chief was cancelled. When cornered, the government clarified that it’s Hockey India’s prerogative on which press to be allowed and who is not. The state government has no role to play. It’s amusing that Hockey India will cancel press accreditation of the sports bureau chief of the leading Odia Channel, which has more than double the viewership  than its nearest competitor while hosting the most important event of Hockey in the state of Odisha. This animosity with OTV isn’t new. Early in March this year, BJD boycotted OTV  and stopped sending it’s representative or spokespersons to OTV alleging that it has lost its neutrality. This is fair though. Boycotting a channel or a commercial establishment is a democratic right and any party or individual is well within his own entitlement to boycott anything they deem fit. However, systematic targeting and muzzling of media by state, which is not to be conflated with a political party, does not augur very well in a democracy. May better sense prevail soon.",2018-11-30,"Abhijit Iyer Mitra,BJD,freedom of press,Journalism,Media,Naveen Patnaik,Odisha,OTV",Is the Odisha government trying to muzzle the media?,https://www.opindia.com/2018/11/is-the-odisha-government-trying-to-muzzle-the-media/
9,OpIndia Staff,"Satyendra Jain will be prosecuted in disproportionate asset and money laundering cases The Ministry of Home Affairs has sanctioned  prosecution of Delhi minister Satyendra Jain in a disproportionate asset and money laundering case. In August last year, Central Bureau of Investigation (CBI) had registered a case against the AAP leader accusing him of acquiring assets disproportionate to his known sources of income. It is alleged that Jain floated several shell companies in Delhi which did not have any real business. Some of these companies are  M/s Akichan Developers Private Limited, M/s Indo Metal Impex Private Limited, M/s Paryas Infosolutions Private Limited and M/s Manglayatan Projects Private Limited, which were launched between 2009 and 2011. Jain had laundered black money of ₹16.39 crore from hawala operators through 54 shell companies, according to the case. Jain is alleged to have laundered unaccounted cash through the hawala operators and received cheques of an equal amount from them. He also purchased land in the name companies owned by him including black money. It is alleged that he purchased lands near unauthorised colonies in Delhi. Jain was also prosecuted  under Prohibition of Benami Property Transaction Act, 1988 (PBPT Act), and after the investigation was over and it was established that Satyendra Jain was the owner of the shell companies, the shares of the companies and the land owned by them was attached. After that, Jain had declared an income of ₹16.39 crore under the Income Declaration Scheme and had paid the tax on it. While investigating the source of this black money, hawala operations and use of cash for land purchase were detected, and cases were registered by CBI accordingly. Reacting to this development, Satyendra Jain tried to suggest that he was being prosecuted for regularising unauthorised colonies, and not for money laundering allegations. Talking to media, he said that regularising unauthorised colonies was part of AAP manifesto and he was doing just that.",2018-11-30,"Aam Aadmi Party,Arvind Kejriwal,benami property,Delhi Government,disproportionate assets,Hawala,illegal land,money laundering,Satyendra Jain",Home Ministry sanctions prosecution of Delhi minister Satyendra Jain in DA and money laundering case,https://www.opindia.com/2018/11/home-ministry-sanctions-prosecution-of-delhi-minister-satyendra-jain-in-da-and-money-laundering-case/
